Title,Writer,KeyWord,Abstract
Natural-Language Multi-Agent Simulations of Argumentative Opinion Dynamics,Gregor Betz,"Opinion Dynamics, Argumentation, Natural Language Processing, Language Model","This paper develops a natural-language agent-based model of argumentation (ABMA). Its artificial deliberative agents (ADAs) are constructed with the help of so-called neural language models recently developed in AI and computational linguistics. ADAs are equipped with a minimalist belief system and may generate and submit novel contributions to a conversation. The natural-language ABMA allows us to simulate collective deliberation in English, i.e. with arguments, reasons, and claims themselves — rather than with their mathematical representations (as in symbolic models). This paper uses the natural-language ABMA to test the robustness of symbolic reason-balancing models of argumentation (Mäs & Flache 2013; Singer et al. 2019): First of all, as long as ADAs remain passive, confirmation bias and homophily updating trigger polarization, which is consistent with results from symbolic models. However, once ADAs start to actively generate new contributions, the evolution of a conversation is dominated by properties of the agents as authors. This suggests that the creation of new arguments, reasons, and claims critically affects a conversation and is of pivotal importance for understanding the dynamics of collective deliberation. The paper closes by pointing out further fruitful applications of the model and challenges for future research."
Arguments as Drivers of Issue Polarisation in Debates Among Artificial Agents,Felix Kopecky,"Polarization, Opinion Dynamics, Argumentation Strategies, Arguments, Belief Systems","Can arguments and their properties influence the development of issue polarisation in debates among artificial agents? This paper presents an agent-based model of debates with logical constraints based on the theory of dialectical structures. Simulations on this model reveal that the exchange of arguments can drive polarisation even without social influence, and that the usage of different argumentation strategies can influence the obtained levels of polarisation."
An Integrated Ecological-Social Simulation Model of Farmer Decisions and Cropping System Performance in the Rolling Pampas (Argentina),"Sebastián Pessah, Diego Omar Ferraro, Daniela Blanco and Rodrigo Castro","Land Use Change, Agent-Based Models, Cropping Systems, Emergy, Cell-DEVS","Changes in agricultural systems are a multi-causal process involving climate change, globalization and technological change. These complex interactions regulate the landscape transformation process by imposing land use and cover change (LUCC) dynamics. In order to better understand and forecast the LUCC process we developed a spatially explicit agent-based model in the form of a Cellular Automata: the AgroDEVS model. The model was designed to project viable LUCC dynamics along with their associated economic and environmental changes. AgroDEVS is structured with behavioral rules and functions representing a) crop yields, b) weather conditions, c) economic profits, d) farmer preferences, e) adoption of technology levels and f) natural resource consumption based on embodied energy accounting. Using data from a typical location of the Pampa region (Argentina) for the period 1988-2015, simulation exercises showed that economic goals were achieved, on average, each 6 out of 10 years, but environmental thresholds were only achieved in 1.9 out of 10 years. In a set of 50-years simulations, LUCC patterns converge quickly towards the most profitable crop sequences, with no noticeable trade-off between economic and environmental conditions."
PolicySpace2: Modeling Markets and Endogenous Public Policies,Bernardo Alves Furtado,"Public Policies, Real Estate Market, Agent-Based Modeling, Simulation, Spatial Analysis, Metropolitan Regions","Policymakers' role in decision making on alternative policies is facing restricted budgets and an uncertain future. The need to decide on priorities and handle effects across policies has made their task even more difficult. For instance, housing policies involve heterogeneous characteristics of the properties themselves and the intricacy of housing markets within the spatial context of cities. Here, we have proposed PolicySpace2 (PS2) as an adapted and extended version of the open source PolicySpace agent-based model. PS2 is a computer simulation that relies on empirically detailed spatial data to model real estate, along with labor, credit, and goods and services markets. Interaction among workers, firms, a bank, households and municipalities follow the literature benchmarks by integrating economic, spatial and transport research. PS2 is applied here as a comparison of three competing public policies aimed at reducing inequality and alleviating poverty: (a) house acquisition by the government and distribution to lower income households, (b) rental vouchers and (c) monetary aid. Within the model context, monetary aid, that is smaller amounts of help for a larger number of households, improves the economy in terms of production, consumption, reduction of inequality and maintenance of financial duties. PS2 is also a framework that can be further adapted to a number of related research questions."
Youth and Their Artificial Social Environmental Risk and Promotive Scores (Ya-TASERPS): An Agent-Based Model of Interactional Theory of Delinquency,JoAnn Lee and Andrew Crooks,"Agent-Based Modeling, Antisocial Behaviors, Delinquency, Risk Factors, Youth, Social Work","Risk assessments are designed to measure cumulative risk and promotive factors for delinquency and recidivism, and are used by criminal and juvenile justice systems to inform sanctions and interventions. Yet, these risk assessments tend to focus on individual risk and often fail to capture each individual’s environmental risk . This paper presents an agent-based model (ABM) which explores the interaction of individual and environmental risk on the youth. The ABM is based on an interactional theory of delinquency and moves beyond more traditional statistical approaches used to study delinquency that tend to rely on point-in-time measures, and to focus on exploring the dynamics and processes that evolve from interactions between agents (i.e., youths) and their environments. Our ABM simulates a youth’s day, where they spend time in schools, their neighborhoods, and families. The youth has proclivities for engaging in prosocial or antisocial behaviors , and their environments have likelihoods of presenting prosocial or antisocial opportunities. Results from systematically adjusting family, school, and neighborhood risk and promotive levels suggest that environmental risk and promotive factors play a role in shaping youth outcomes. As such the model shows promise for increasing our understanding of delinquency."
VIDA: A Simulation Model of Domestic Violence in Times of Social Distancing,"Lígia Mori Madeira, Bernardo Alves Furtado and Alan Dill","Domestic Violence, Violence Against Women, Agent-Based Models, Pandemics, Simulation, Metropolitan Regions","Violence against women occurs predominantly in the family and domestic context. The COVID-19 pandemic has led Brazil to recommend and at times, impose social distancing, with the partial closure of economic activities, schools, and restrictions on events and public services. Preliminary evidence shows that intense coexistence increases domestic violence, while social distancing measures may have prevented access to public services and networks, information, and help. We propose an agent-based model (ABM), called VIDA, to formalize and illustrate a multitude of factors that influence events which could trigger violence. A central part of the model is the construction of a stress indicator, created as a probability trigger of domestic violence occurring within the family environment. Having a formal model that replicates observed patterns of violence based on internal familial characteristics enables us to experiment with altering dynamics. We first tested the (a) absence or presence of the deterrence system of domestic violence against women and then (b) the existence of measures to increase social distancing. VIDA presents comparative results for metropolitan regions and neighborhoods considered in the experiments. Results suggest that social distancing measures, particularly those encouraging staying at home, may have increased domestic violence against women by about 10%. VIDA suggests further that more populated areas have comparatively fewer cases per hundred thousand women than less populous capitals or rural areas of urban concentrations. This paper contributes to the literature by formalizing, to the best of our knowledge, the first model of domestic violence through agent-based modeling, using empirical detailed socioeconomic, demographic, educational, gender, and race data at the intraurban (census sectors) and household level."
Long-Term Dynamics of Institutions: Using ABM as a Complementary Tool to Support Theory Development in Historical Studies,"Molood Ale Ebrahim Dehkordi, Amineh Ghorbani, Giangiacomo Bravo, Mike Farjam, René van Weeren, Anders Forsman and Tine De Moor","Institutional Modelling, Historical Data, CPRs, Institutional Evolution","Historical data are valuable resources for providing insights into social patterns in the past. However, these data often inform us at the macro-level of analysis but not about the role of individuals’ behaviours in the emergence of long-term patterns. Therefore, it is difficult to infer ‘how’ and ‘why’ certain patterns emerged in the past. Historians use various methods to draw hypotheses about the underlying reasons for emerging patterns and trends, but since the patterns are the results of hundreds if not thousands of years of human behaviour, these hypotheses can never be tested in reality. Our proposition is that simulation models and specifically, agent-based models (ABMs) can be used as complementary tools in historical studies to support hypothesis building. The approach that we propose and test in this paper is to design and configure models in such a way as to generate historical patterns, consequently aiming to find individual-level explanations for the emerging pattern. In this work, we use an existing, empirically validated, agent-based model of common pool resource management to test hypotheses formulated based on a historical dataset. We first investigate whether the model can replicate various patterns observed in the dataset, and second, whether it can contribute to a better understanding of the underlying mechanism that led to the observed empirical trends. We showcase how ABM can be used as a complementary tool to support theory development in historical studies. Finally, we provide some guidelines for using ABM as a tool to test historical hypotheses."
The Role of Mistrust in the Modelling of Opinion Adoption,"Johnathan Adams, Gentry White and Robyn Araujo","Opinion Dynamics, Mistrust, Bayesian Update, Polarisation, Modelling","Societies tend to partition into factions based on shared beliefs, leading to sectarian conflict in society. This paper investigates mistrust as a cause for this partitioning by extending an established opinion dynamics model with Bayesian updating that specifies mistrust as the underlying mechanism for disagreement and, ultimately, polarisation. We demonstrate that mistrust is at the foundation of polarisation. Detailed analysis and the results of rigorous simulation studies provide new insight into the potential role of mistrust in polarisation. We show that consensus results when mistrust levels are low, but introducing extreme agents makes consensus significantly harder to reach and highly fragmented and dispersed. These results also suggest a method to verify the model using real-world experimental or observational data empirically."
"Using Agent-Based Modelling to Assess Scenarios for Enhanced Soil and Water Conservation in the Boset District, Ethiopia","Samuel Assefa, Aad Kessler and Luuk Fleskens","Social Simulation, Farmers, Soil and Water Conservation, Scenario Analysis, Ethiopia","The sustainability of the ongoing Campaign-Based Watershed Management (CBWM) program in Ethiopia is questionable due to poor planning and implementation of the Soil and Water Conservation (SWC) structures. This study uses an empirically based, agent-based model to explore the effect of six scenarios on both area of land covered by, as well as the quality of SWC structures in three Kebeles (villages) of Boset District. The analysis revealed that integrating multiple interventions enhanced SWC most in all Kebeles. Furthermore, increasing the commitment of local government through capacity building generated most effect and yet required the lowest investment. Motivating farmers, introducing alternative livelihood opportunities and establishing and strengthening micro-watershed associations had limited, but differential influence on the outcomes across the Kebeles. However, all alternative scenarios had some added value compared to doing business as usual. Hence, in order to enhance the outcomes and sustainability of the ongoing CBWM program in the study area and other similar localities, it is crucial to pay much more attention to increasing the commitment of local government actors through capacity building. This empowers local government actors to (1) plan and more efficiently implement the program in consultation with other local actors, and (2) integrate locally sensitive need-based adaptation of the program."
The Dynamical Relation Between Individual Needs and Group Performance: A Simulation of the Self-Organising Task Allocation Process,"Shaoni Wang, Kees Zoethout, Wander Jager and Yanzhong Dang","Individual Needs, Motivation, Group Performance, Self-Organization, Task Allocation, Agent-Based Modelling","Team performance can be considered a macro-level outcome that depends on three sets of micro-level factors: individual workers contributing to the task, team composition, and task characteristics. For a number of reasons, the complex dynamics between individuals in the task allocation process are difficult to systematically explore in traditional experimental settings:  the motivational dynamics, the complex dynamics of task allocation processes, and the lack of experimental control over team composition imply an ABM-approach being more feasible. For this reason, we propose an updated version of the WORKMATE model that has been developed to explore the dynamics of team performance. In doing so, we added Deci and Ryan’s SDT theory, stating that people are motivated by three psychological needs, competence, autonomy, and belongingness. This paper is aimed at explaining the architecture of the model, and some first simulation runs as proof of concept. The experimental results show that: 1) an appropriate motivation threshold will help the team have the lowest performance time. 2) the time needed for the task allocation process is related to the importance of different motivations. 3) highly satisfied teams are more likely composed of members valuing autonomy."
"Hard Work, Risk-Taking, and Diversity in a Model of Collective Problem Solving",Amin Boroomand and Paul E. Smaldino,"Teams, NK Landscape, Risk, Collective Decision Making, Agent-Based Model","We studied an agent-based model of collective problem solving in which teams of agents search on an NK landscape and share information about newly found solutions. We analyzed the effects of team members’ behavioral strategies, team size, and team diversity on overall performance. Depending on the landscape complexity and a team’s features a team may eventually find the best possible solution or become trapped at a local maximum. Hard-working agents can explore more solutions per unit time, while risk-taking agents inject randomness in the solutions they test. We found that when teams solve complex problems, both strategies (risk-taking and hard work) have positive impacts on the final score, and the positive effect of moderate risk-taking is substantial. However, risk-taking has a negative effect on how quickly a team achieves its final score. If time restrictions can be relaxed, a moderate level of risk can produce an improved score. If the highest priority is instead to achieve the best possible score in the shortest amount of time, the hard work strategy has the greatest impact. When problems are simpler, risk-taking behavior has a negative effect on performance, while hard work decreases the time required to solve the problem. We also find that larger teams generally solved problems more effectively, and that some of this positive effect is due to the increase in diversity. We show more generally that increasing the diversity of teams has a positive impact on the team’s final score, while more diverse teams also require less time to reach their final solution. This work contributes overall to the larger literature on collective problem solving in teams."
A Noisy Opinion Formation Model with Two Opposing Mass Media,Hirofumi Takesue,"Opinion Dynamics, Continuous Opinions, Noise, Mass Media","Processes of individual attitude formation and their macroscopic consequences have become an intriguing research topic, and agent-based models of opinion formation have been proposed to understand this phenomenon. This study conducted an agent-based simulation and examined the role of mass media in a noisy opinion formation process, where opinion heterogeneity is preserved by a weak intensity of assimilation and errors accompanying opinion modifications. In a computational model, agents conformed to their neighbours' opinions in social networks. In addition, each agent tended to be influenced by one of a two external agents with fixed opinions, that is, mass media that take opposite positions on an opinion spectrum. The simulation results demonstrated that a small probability of interactions with mass media reduces opinion heterogeneity even with extreme mass media position values. However, a large frequency of interactions with mass media increases opinion heterogeneity. Accordingly, intermediate assimilation strength achieves the least heterogeneous opinion distribution. The influence of mass media dampens the effects of network topology. Our simulation implies that mass media can play qualitatively different roles depending on their positions and intensity of influence."
Cultural Dissemination: An Agent-Based Model with Social Influence,"Ngan Nguyen, Hongfei Chen, Benjamin Jin, Walker Quinn, Conrad Tyler and Adam Landsberg","Cultural Dissemination, Agent-Based Modeling, Cultural Evolution, Opinion Dynamics, Cultural Transmission, Bounded Confidence Models","We study cultural dissemination in the context of an Axelrod-like agent-based model describing the spread of cultural traits across a society, with an added element of social influence. This modification produces absorbing states exhibiting greater variation in number and size of distinct cultural regions compared to the original Axelrod model, and we identify the mechanism responsible for this amplification in heterogeneity. We develop several new metrics to quantitatively characterize the heterogeneity and geometric qualities of these absorbing states. Additionally, we examine the dynamical approach to absorbing states in both our Social Influence Model as well as the Axelrod Model, which not only yields interesting insights into the differences in behavior of the two models over time, but also provides a more comprehensive view into the behavior of Axelrod's original model. The quantitative metrics introduced in this paper have broad potential applicability across a large variety of agent-based cultural dissemination models."
Social Network Metric-Based Interventions? Experiments with an Agent-Based Model of the COVID-19 Pandemic in a Metropolitan Region,"Ben Vermeulen, Matthias Müller and Andreas Pyka","Epidemic, Agent-Based Model, Policy Laboratory, COVID-19, Coronavirus","We present and use an agent-based model to study interventions for suppression, mitigation, and vaccination in coping with the COVID-19 pandemic. Unlike metapopulation models, our agent-based model permits experimenting with micro-level interventions in social interactions at individual sites. We compare common macro-level interventions applicable to everyone (e.g., keep distance, close all schools) to targeted interventions in the social network spanned by households based on specific (potential) transmission rates (e.g., prohibit visiting spreading hubs or bridging ties). We show that, in the simulation environment, micro-level measures of 'locking' of a number of households and ‘blocking’ access to a number of sites (e.g., workplaces, schools, recreation areas) using social network centrality metrics permits refined control on the positioning on the immunity-mortality curve. In simulation results, social network metric-based vaccination of households offers refined control and reduces the spread saliently better than random vaccination."
Agent-Based Social Simulation of the Covid-19 Pandemic: A Systematic Review,"Fabian Lorig, Emil Johansson and Paul Davidsson","SARS-CoV-2, Transmission Processes, Effects of Interventions, Non-Pharmaceutical Interventions, Literature Study, PRISMA","When planning interventions to limit the spread of Covid-19, the current state of knowledge about the disease and specific characteristics of the population need to be considered. Simulations can facilitate policy making as they take prevailing circumstances into account. Moreover, they allow for the investigation of the potential effects of different interventions using an artificial population. Agent-based Social Simulation (ABSS) is argued to be particularly useful as it can capture the behavior of and interactions between individuals. We performed a systematic literature review and identified 126 articles that describe ABSS of Covid-19 transmission processes. Our review showed that ABSS is widely used for investigating the spread of Covid-19. Existing models are very heterogeneous with respect to their purpose, the number of simulated individuals, and the modeled geographical region as well as how they model transmission dynamics, disease states, human behavior, and interventions. To this end, a discrepancy can be identified between the needs of policy makers and what is implemented by the simulation models. This also includes how thoroughly the models consider and represent the real-world, e.g., in terms of factors that affect the transmission probability or how humans make decisions. Shortcomings were also identified in the transparency of the presented models, e.g., in terms of documentation or availability, as well as in their validation, which might limit their suitability for supporting decision-making processes. We discuss how these issues can be mitigated to further establish ABSS as powerful tool for crisis management."
Using Agent-Based Models for Prediction in Complex and Wicked Systems,"J. Gareth Polhill, Matthew Hare, Tom Bauermann, David Anzola, Erika Palmer, Doug Salt and Patrycja Antosz","Prediction, Complex Systems, Wicked Systems, Agent-Based Modelling, Cellular Automata, Turing Machines","This paper uses two thought experiments to argue that the complexity of the systems to which agent-based models (ABMs) are often applied is not the central source of difficulties ABMs have with prediction. We define various levels of predictability, and argue that insofar as path-dependency is a necessary attribute of a complex system, ruling out states of the system means that there is at least the potential to say something useful. ‘Wickedness’ is argued to be a more significant challenge to prediction than complexity. Critically, however, neither complexity nor wickedness makes prediction theoretically impossible in the sense of being formally undecidable computationally-speaking: intractable being the more apt term given the exponential sizes of the spaces being searched. However, endogenous ontological novelty in wicked systems is shown to render prediction futile beyond the immediately short term."
